Area Code,Coffee or Tea,Date,Dice:,Market,Market Size,Product,Product Type,Slice:,St,ST ,State,Type,Budget COGS,Budget Margin,Budget Profit,Budget Sales,Coffee Sales,Coffee Sales %,Cogs,Control Line- Average: Coffee as % of Sales,Inventory,Margin,Marketing,Number of Records,Profit,Profit %,Profit % Color Density,Sales,Sales + Profit,"Sales, Margin or Profit",Tea Sales,TeaCoffeeSales,Total Expenses
863,Tea,1/1/2012 12:00:00 AM,Florida,East,Major Market,Chamomile,Herbal Tea,East,Flori,FL,Florida,Decaf,30,50,30,80,,,48,,623,62,15,1,34,0.309090909,0.092727273,110,144,110,110,110,28
239,Tea,1/1/2012 12:00:00 AM,Florida,East,Major Market,Lemon,Herbal Tea,East,Flori,FL,Florida,Decaf,40,50,20,90,,,54,,312,66,20,1,13,0.108333333,0.0325,120,133,120,120,120,53
339,Tea,1/1/2012 12:00:00 AM,Massachusetts,East,Major Market,Lemon,Herbal Tea,East,Massa,MA,Massachusetts,Decaf,40,60,30,100,,,58,,338,72,22,1,17,0.130769231,0.039230769,130,147,130,130,130,55
607,Tea,1/1/2012 12:00:00 AM,New York,East,Major Market,Lemon,Herbal Tea,East,New Y,NY,New York,Decaf,180,190,100,370,,,245,,1419,238,93,1,111,0.229813665,0.068944099,483,594,483,483,483,127
772,Tea,1/1/2012 12:00:00 AM,Florida,East,Major Market,Mint,Herbal Tea,East,Flori,FL,Florida,Decaf,50,60,40,110,,,69,,965,81,21,1,39,0.26,0.078,150,189,150,150,150,42
845,Tea,1/1/2012 12:00:00 AM,New York,East,Major Market,Mint,Herbal Tea,East,New Y,NY,New York,Decaf,150,-10,-70,140,,,207,,965,-27,64,1,-113,-0.627777778,-0.188333333,180,67,180,180,180,86
325,Coffee,1/1/2012 12:00:00 AM,Texas,South,Major Market,Decaf Irish Cream,Coffee,South,Texas,TX,Texas,Decaf,100,130,100,230,190,1,83,1,623,107,27,1,68,0.357894737,0.107368421,190,258,190,,190,39
956,Coffee,1/1/2012 12:00:00 AM,Texas,South,Major Market,Decaf Espresso,Espresso,South,Texas,TX,Texas,Decaf,40,70,60,110,134,1,54,1,456,80,15,1,54,0.402985075,0.120895522,134,188,134,,134,26
281,Tea,1/1/2012 12:00:00 AM,Texas,South,Major Market,Chamomile,Herbal Tea,South,Texas,TX,Texas,Decaf,50,80,50,130,,,60,,336,80,19,1,33,0.235714286,0.070714286,140,173,140,140,140,47
254,Tea,1/1/2012 12:00:00 AM,Texas,South,Major Market,Lemon,Herbal Tea,South,Texas,TX,Texas,Decaf,50,80,50,130,,,57,,364,83,18,1,42,0.3,0.09,140,182,140,140,140,41
650,Coffee,1/1/2012 12:00:00 AM,California,West,Major Market,Decaf Irish Cream,Coffee,West,Calif,CA,California,Decaf,180,-40,-120,140,118,1,144,1,862,-26,47,1,-117,-0.991525424,-0.297457627,118,1,118,,118,91
213,Coffee,1/1/2012 12:00:00 AM,California,West,Major Market,Decaf Espresso,Espresso,West,Calif,CA,California,Decaf,220,300,200,520,546,1,234,1,1310,312,77,1,203,0.371794872,0.111538462,546,749,546,,546,109
510,Tea,1/1/2012 12:00:00 AM,California,West,Major Market,Chamomile,Herbal Tea,West,Calif,CA,California,Decaf,80,120,100,200,,,95,,821,139,26,1,102,0.435897436,0.130769231,234,336,234,234,234,37
310,Tea,1/1/2012 12:00:00 AM,California,West,Major Market,Lemon,Herbal Tea,West,Calif,CA,California,Decaf,170,220,160,390,,,207,,965,245,64,1,160,0.353982301,0.106194690,452,612,452,452,452,85
707,Tea,1/1/2012 12:00:00 AM,California,West,Major Market,Mint,Herbal Tea,West,Calif,CA,California,Decaf,70,90,60,160,,,83,,623,107,27,1,67,0.352631579,0.105789474,190,257,190,190,190,40
719,Coffee,1/1/2012 12:00:00 AM,Colorado,Central,Major Market,Amaretto,Coffee,Central,Color,CO,Colorado,Regular,90,130,100,220,219,1,89,1,777,130,24,1,94,0.429223744,0.128767123,219,313,219,,219,36
740,Coffee,1/1/2012 12:00:00 AM,Ohio,Central,Major Market,Amaretto,Coffee,Central,Ohio,OH,Ohio,Regular,60,80,50,140,140,1,60,1,336,80,19,1,34,0.242857143,0.072857143,140,174,140,,140,46
970,Coffee,1/1/2012 12:00:00 AM,Colorado,Central,Major Market,Colombian,Coffee,Central,Color,CO,Colorado,Regular,80,110,80,190,190,1,83,1,623,107,27,1,68,0.357894737,0.107368421,190,258,190,,190,39
217,Coffee,1/1/2012 12:00:00 AM,Illinois,Central,Major Market,Colombian,Coffee,Central,Illin,IL,Illinois,Regular,150,210,130,360,345,1,144,1,862,201,47,1,111,0.321739130,0.096521739,345,456,345,,345,90
614,Coffee,1/1/2012 12:00:00 AM,Ohio,Central,Major Market,Colombian,Coffee,Central,Ohio,OH,Ohio,Regular,60,80,50,140,140,1,57,1,364,83,18,1,42,0.3,0.09,140,182,140,,140,41
303,Coffee,1/1/2012 12:00:00 AM,Colorado,Central,Major Market,Caffe Mocha,Espresso,Central,Color,CO,Colorado,Regular,60,90,70,150,134,1,54,1,456,80,15,1,54,0.402985075,0.120895522,134,188,134,,134,26
309,Coffee,1/1/2012 12:00:00 AM,Illinois,Central,Major Market,Caffe Mocha,Espresso,Central,Illin,IL,Illinois,Regular,270,370,260,640,546,1,234,1,1310,312,77,1,203,0.371794872,0.111538462,546,749,546,,546,109
614,Coffee,1/1/2012 12:00:00 AM,Ohio,Central,Major Market,Caffe Mocha,Espresso,Central,Ohio,OH,Ohio,Regular,190,210,140,400,341,1,170,1,1091,171,47,1,99,0.290322581,0.087096774,341,440,341,,341,72
719,Tea,1/1/2012 12:00:00 AM,Colorado,Central,Major Market,Darjeeling,Tea,Central,Color,CO,Colorado,Regular,40,70,20,110,,,58,,338,72,22,1,17,0.130769231,0.039230769,130,147,130,130,130,55
217,Tea,1/1/2012 12:00:00 AM,Illinois,Central,Major Market,Darjeeling,Tea,Central,Illin,IL,Illinois,Regular,40,70,50,110,,,54,,456,80,15,1,53,0.395522388,0.118656716,134,187,134,134,134,27
567,Tea,1/1/2012 12:00:00 AM,Ohio,Central,Major Market,Darjeeling,Tea,Central,Ohio,OH,Ohio,Regular,70,110,60,180,,,84,,651,126,27,1,68,0.323809524,0.097142857,210,278,210,210,210,58
303,Tea,1/1/2012 12:00:00 AM,Colorado,Central,Major Market,Earl Grey,Tea,Central,Color,CO,Colorado,Regular,50,70,40,120,,,64,,965,76,19,1,36,0.257142857,0.077142857,140,176,140,140,140,40
708,Tea,1/1/2012 12:00:00 AM,Illinois,Central,Major Market,Earl Grey,Tea,Central,Illin,IL,Illinois,Regular,60,90,40,150,,,72,,558,108,23,1,54,0.3,0.09,180,234,180,180,180,54
216,Tea,1/1/2012 12:00:00 AM,Ohio,Central,Major Market,Earl Grey,Tea,Central,Ohio,OH,Ohio,Regular,70,100,60,170,,,84,,500,116,26,1,67,0.335,0.1005,200,267,200,200,200,49
303,Tea,1/1/2012 12:00:00 AM,Colorado,Central,Major Market,Green Tea,Tea,Central,Color,CO,Colorado,Regular,30,50,30,80,,,44,,623,56,14,1,30,0.3,0.09,100,130,100,100,100,26
954,Coffee,1/1/2012 12:00:00 AM,Florida,East,Major Market,Colombian,Coffee,East,Flori,FL,Florida,Regular,80,110,70,190,210,1,84,1,651,126,27,1,68,0.323809524,0.097142857,210,278,210,,210,58
413,Coffee,1/1/2012 12:00:00 AM,Massachusetts,East,Major Market,Colombian,Coffee,East,Massa,MA,Massachusetts,Regular,60,400,360,460,494,1,72,1,558,422,23,1,367,0.742914980,0.222874494,494,861,494,,494,55
716,Coffee,1/1/2012 12:00:00 AM,New York,East,Major Market,Colombian,Coffee,East,New Y,NY,New York,Regular,260,380,260,640,678,1,271,1,2101,407,94,1,262,0.386430678,0.115929204,678,940,678,,678,145
239,Coffee,1/1/2012 12:00:00 AM,Florida,East,Major Market,Caffe Mocha,Espresso,East,Flori,FL,Florida,Regular,70,110,30,180,190,1,79,1,551,111,72,1,9,0.047368421,0.014210526,190,199,190,,190,102
781,Coffee,1/1/2012 12:00:00 AM,Massachusetts,East,Major Market,Caffe Mocha,Espresso,East,Massa,MA,Massachusetts,Regular,60,60,-10,120,126,1,63,1,435,63,57,1,-23,-0.182539683,-0.054761905,126,103,126,,126,86
315,Coffee,1/1/2012 12:00:00 AM,New York,East,Major Market,Caffe Mocha,Espresso,East,New Y,NY,New York,Regular,100,-50,-170,50,61,1,105,1,725,-44,95,1,-172,-2.819672131,-0.845901639,61,-111,61,,61,128
978,Coffee,1/1/2012 12:00:00 AM,Massachusetts,East,Major Market,Regular Espresso,Espresso,East,Massa,MA,Massachusetts,Regular,160,170,110,330,341,1,170,1,1091,171,47,1,100,0.293255132,0.087976540,341,441,341,,341,71
631,Coffee,1/1/2012 12:00:00 AM,New York,East,Major Market,Regular Espresso,Espresso,East,New Y,NY,New York,Regular,210,270,200,480,490,1,228,1,1459,262,63,1,175,0.357142857,0.107142857,490,665,490,,490,87
954,Tea,1/1/2012 12:00:00 AM,Florida,East,Major Market,Darjeeling,Tea,East,Flori,FL,Florida,Regular,30,50,40,80,,,32,,821,48,8,1,28,0.35,0.105,80,108,80,80,80,20
508,Tea,1/1/2012 12:00:00 AM,Massachusetts,East,Major Market,Darjeeling,Tea,East,Massa,MA,Massachusetts,Regular,30,50,40,80,,,32,,821,48,8,1,29,0.3625,0.10875,80,109,80,80,80,19
347,Tea,1/1/2012 12:00:00 AM,New York,East,Major Market,Darjeeling,Tea,East,New Y,NY,New York,Regular,100,150,120,250,,,95,,821,139,26,1,101,0.431623932,0.129487179,234,335,234,234,234,38
646,Tea,1/1/2012 12:00:00 AM,New York,East,Major Market,Earl Grey,Tea,East,New Y,NY,New York,Regular,90,140,110,230,,,89,,777,130,24,1,94,0.429223744,0.128767123,219,313,219,219,219,36
754,Tea,1/1/2012 12:00:00 AM,Florida,East,Major Market,Green Tea,Tea,East,Flori,FL,Florida,Regular,30,50,40,80,,,33,,777,48,9,1,28,0.345679012,0.103703704,81,109,81,81,81,20
781,Tea,1/1/2012 12:00:00 AM,Massachusetts,East,Major Market,Green Tea,Tea,East,Massa,MA,Massachusetts,Regular,30,50,40,80,,,32,,456,48,8,1,29,0.3625,0.10875,80,109,80,80,80,19
347,Tea,1/1/2012 12:00:00 AM,New York,East,Major Market,Green Tea,Tea,East,New Y,NY,New York,Regular,50,90,70,140,,,54,,456,80,15,1,54,0.402985075,0.120895522,134,188,134,134,134,26
409,Coffee,1/1/2012 12:00:00 AM,Texas,South,Major Market,Colombian,Coffee,South,Texas,TX,Texas,Regular,260,300,220,560,452,1,207,1,965,245,64,1,159,0.351769912,0.105530973,452,611,452,,452,86
830,Coffee,1/1/2012 12:00:00 AM,Texas,South,Major Market,Caffe Latte,Espresso,South,Texas,TX,Texas,Regular,60,90,50,150,180,1,72,1,558,108,23,1,53,0.294444444,0.088333333,180,233,180,,180,55
325,Coffee,1/1/2012 12:00:00 AM,Texas,South,Major Market,Caffe Mocha,Espresso,South,Texas,TX,Texas,Regular,70,110,90,180,219,1,89,1,777,130,24,1,95,0.433789954,0.130136986,219,314,219,,219,35
916,Coffee,1/1/2012 12:00:00 AM,California,West,Major Market,Amaretto,Coffee,West,Calif,CA,California,Regular,110,70,30,180,145,1,95,1,608,50,30,1,-2,-0.013793103,-0.004137931,145,143,145,,145,52
559,Coffee,1/1/2012 12:00:00 AM,California,West,Major Market,Colombian,Coffee,West,Calif,CA,California,Regular,340,500,370,840,678,1,271,1,2101,407,94,1,262,0.386430678,0.115929204,678,940,678,,678,145
661,Coffee,1/1/2012 12:00:00 AM,California,West,Major Market,Caffe Latte,Espresso,West,Calif,CA,California,Regular,210,220,150,430,456,1,228,1,1459,228,63,1,140,0.307017544,0.092105263,456,596,456,,456,88
818,Coffee,1/1/2012 12:00:00 AM,California,West,Major Market,Caffe Mocha,Espresso,West,Calif,CA,California,Regular,100,140,20,240,250,1,105,1,725,145,95,1,17,0.068,0.0204,250,267,250,,250,128
619,Tea,1/1/2012 12:00:00 AM,California,West,Major Market,Darjeeling,Tea,West,Calif,CA,California,Regular,50,90,80,140,,,89,,777,130,24,1,94,0.429223744,0.128767123,219,313,219,219,219,36
650,Tea,1/1/2012 12:00:00 AM,California,West,Major Market,Earl Grey,Tea,West,Calif,CA,California,Regular,30,60,60,90,,,54,,456,80,15,1,54,0.402985075,0.120895522,134,188,134,134,134,26
760,Tea,1/1/2012 12:00:00 AM,California,West,Major Market,Green Tea,Tea,West,Calif,CA,California,Regular,40,80,50,120,,,72,,558,108,23,1,54,0.3,0.09,180,234,180,180,180,54
712,Coffee,1/1/2012 12:00:00 AM,Iowa,Central,Small Market,Decaf Irish Cream,Coffee,Central,Iowa,IA,Iowa,Decaf,20,30,20,50,54,1,23,1,623,31,7,1,12,0.222222222,0.066666667,54,66,54,,54,19
573,Coffee,1/1/2012 12:00:00 AM,Missouri,Central,Small Market,Decaf Irish Cream,Coffee,Central,Misso,MO,Missouri,Decaf,80,90,50,170,170,1,78,1,965,92,24,1,47,0.276470588,0.082941176,170,217,170,,170,45
414,Coffee,1/1/2012 12:00:00 AM,Wisconsin,Central,Small Market,Decaf Irish Cream,Coffee,Central,Wisco,WI,Wisconsin,Decaf,80,100,60,180,180,1,77,1,432,103,25,1,51,0.283333333,0.085,180,231,180,,180,52
563,Coffee,1/1/2012 12:00:00 AM,Iowa,Central,Small Market,Decaf Espresso,Espresso,Central,Iowa,IA,Iowa,Decaf,10,40,30,50,43,1,17,1,777,26,4,1,10,0.232558140,0.069767442,43,53,43,,43,16
660,Coffee,1/1/2012 12:00:00 AM,Missouri,Central,Small Market,Decaf Espresso,Espresso,Central,Misso,MO,Missouri,Decaf,50,80,60,130,114,1,46,1,777,68,12,1,45,0.394736842,0.118421053,114,159,114,,114,23
262,Coffee,1/1/2012 12:00:00 AM,Wisconsin,Central,Small Market,Decaf Espresso,Espresso,Central,Wisco,WI,Wisconsin,Decaf,50,70,50,120,110,1,48,1,623,62,15,1,34,0.309090909,0.092727273,110,144,110,,110,28
641,Tea,1/1/2012 12:00:00 AM,Iowa,Central,Small Market,Chamomile,Herbal Tea,Central,Iowa,IA,Iowa,Decaf,200,280,200,480,,,234,,1310,312,77,1,202,0.369963370,0.110989011,546,748,546,546,546,110
573,Tea,1/1/2012 12:00:00 AM,Missouri,Central,Small Market,Chamomile,Herbal Tea,Central,Misso,MO,Missouri,Decaf,30,40,0,70,,,37,,261,53,34,1,-11,-0.122222222,-0.036666667,90,79,90,90,90,64
715,Tea,1/1/2012 12:00:00 AM,Wisconsin,Central,Small Market,Chamomile,Herbal Tea,Central,Wisco,WI,Wisconsin,Decaf,50,100,80,150,,,67,,400,113,20,1,70,0.388888889,0.116666667,180,250,180,180,180,43
563,Tea,1/1/2012 12:00:00 AM,Iowa,Central,Small Market,Lemon,Herbal Tea,Central,Iowa,IA,Iowa,Decaf,80,120,90,200,,,95,,608,139,30,1,86,0.367521368,0.110256410,234,320,234,234,234,53
314,Tea,1/1/2012 12:00:00 AM,Missouri,Central,Small Market,Lemon,Herbal Tea,Central,Misso,MO,Missouri,Decaf,70,10,-20,80,,,88,,525,11,27,1,-39,-0.393939394,-0.118181818,99,60,99,99,99,50
715,Tea,1/1/2012 12:00:00 AM,Wisconsin,Central,Small Market,Lemon,Herbal Tea,Central,Wisco,WI,Wisconsin,Decaf,20,50,50,70,,,33,,777,48,9,1,28,0.345679012,0.103703704,81,109,81,81,81,20
475,Coffee,1/1/2012 12:00:00 AM,Connecticut,East,Small Market,Decaf Espresso,Espresso,East,Conne,CT,Connecticut,Decaf,50,70,40,120,130,1,55,1,312,75,18,1,30,0.230769231,0.069230769,130,160,130,,130,45
860,Tea,1/1/2012 12:00:00 AM,Connecticut,East,Small Market,Lemon,Herbal Tea,East,Conne,CT,Connecticut,Decaf,60,80,40,140,,,85,,494,105,32,1,40,0.210526316,0.063157895,190,230,190,190,190,65
603,Tea,1/1/2012 12:00:00 AM,New Hampshire,East,Small Market,Lemon,Herbal Tea,East,New H,NH,New Hampshire,Decaf,20,30,0,50,,,34,,197,42,12,1,-4,-0.052631579,-0.015789474,76,72,76,76,76,46
475,Tea,1/1/2012 12:00:00 AM,Connecticut,East,Small Market,Mint,Herbal Tea,East,Conne,CT,Connecticut,Decaf,50,80,50,130,,,78,,965,92,24,1,47,0.276470588,0.082941176,170,217,170,170,170,45
985,Coffee,1/1/2012 12:00:00 AM,Louisiana,South,Small Market,Decaf Irish Cream,Coffee,South,Louis,LA,Louisiana,Decaf,40,60,50,100,81,1,33,1,777,48,9,1,28,0.345679012,0.103703704,81,109,81,,81,20
505,Coffee,1/1/2012 12:00:00 AM,New Mexico,South,Small Market,Decaf Irish Cream,Coffee,South,New M,NM,New Mexico,Decaf,110,10,-30,120,99,1,88,1,525,11,27,1,-39,-0.393939394,-0.118181818,99,60,99,,99,50
580,Coffee,1/1/2012 12:00:00 AM,Oklahoma,South,Small Market,Decaf Irish Cream,Coffee,South,Oklah,OK,Oklahoma,Decaf,40,60,50,100,80,1,32,1,821,48,8,1,28,0.35,0.105,80,108,80,,80,20
337,Coffee,1/1/2012 12:00:00 AM,Louisiana,South,Small Market,Decaf Espresso,Espresso,South,Louis,LA,Louisiana,Decaf,50,70,50,120,150,1,61,1,390,89,19,1,48,0.32,0.096,150,198,150,,150,41
505,Coffee,1/1/2012 12:00:00 AM,New Mexico,South,Small Market,Decaf Espresso,Espresso,South,New M,NM,New Mexico,Decaf,30,40,10,70,82,1,35,1,196,47,11,1,9,0.109756098,0.032926829,82,91,82,,82,38
405,Coffee,1/1/2012 12:00:00 AM,Oklahoma,South,Small Market,Decaf Espresso,Espresso,South,Oklah,OK,Oklahoma,Decaf,70,110,70,180,210,1,84,1,651,126,27,1,67,0.319047619,0.095714286,210,277,210,,210,59
337,Tea,1/1/2012 12:00:00 AM,Louisiana,South,Small Market,Chamomile,Herbal Tea,South,Louis,LA,Louisiana,Decaf,40,60,40,100,,,49,,623,63,16,1,35,0.3125,0.09375,112,147,112,112,112,28
505,Tea,1/1/2012 12:00:00 AM,New Mexico,South,Small Market,Chamomile,Herbal Tea,South,New M,NM,New Mexico,Decaf,10,30,20,40,,,18,,821,27,5,1,11,0.244444444,0.073333333,45,56,45,45,45,16
918,Tea,1/1/2012 12:00:00 AM,Oklahoma,South,Small Market,Chamomile,Herbal Tea,South,Oklah,OK,Oklahoma,Decaf,50,60,20,110,,,54,,312,66,20,1,13,0.108333333,0.0325,120,133,120,120,120,53
504,Tea,1/1/2012 12:00:00 AM,Louisiana,South,Small Market,Lemon,Herbal Tea,South,Louis,LA,Louisiana,Decaf,80,100,40,180,,,85,,494,105,32,1,40,0.210526316,0.063157895,190,230,190,190,190,65
505,Tea,1/1/2012 12:00:00 AM,New Mexico,South,Small Market,Lemon,Herbal Tea,South,New M,NM,New Mexico,Decaf,20,40,20,60,,,28,,965,34,8,1,4,0.064516129,0.019354839,62,66,62,62,62,30
580,Tea,1/1/2012 12:00:00 AM,Oklahoma,South,Small Market,Lemon,Herbal Tea,South,Oklah,OK,Oklahoma,Decaf,70,110,30,180,,,79,,551,111,72,1,10,0.052631579,0.015789474,190,200,190,190,190,101
775,Coffee,1/1/2012 12:00:00 AM,Nevada,West,Small Market,Decaf Irish Cream,Coffee,West,Nevad,NV,Nevada,Decaf,30,40,20,70,62,1,28,1,965,34,8,1,4,0.064516129,0.019354839,62,66,62,,62,30
971,Coffee,1/1/2012 12:00:00 AM,Oregon,West,Small Market,Decaf Irish Cream,Coffee,West,Orego,OR,Oregon,Decaf,70,100,70,170,140,1,57,1,364,83,18,1,42,0.3,0.09,140,182,140,,140,41
801,Coffee,1/1/2012 12:00:00 AM,Utah,West,Small Market,Decaf Irish Cream,Coffee,West,Utah,UT,Utah,Decaf,100,130,70,230,190,1,85,1,494,105,32,1,39,0.205263158,0.061578947,190,229,190,,190,66
509,Coffee,1/1/2012 12:00:00 AM,Washington,West,Small Market,Decaf Irish Cream,Coffee,West,Washi,WA,Washington,Decaf,90,140,60,230,190,1,79,1,551,111,72,1,9,0.047368421,0.014210526,190,199,190,,190,102
775,Coffee,1/1/2012 12:00:00 AM,Nevada,West,Small Market,Decaf Espresso,Espresso,West,Nevad,NV,Nevada,Decaf,10,30,20,40,43,1,17,1,777,26,4,1,11,0.255813953,0.076744186,43,54,43,,43,15
971,Coffee,1/1/2012 12:00:00 AM,Oregon,West,Small Market,Decaf Espresso,Espresso,West,Orego,OR,Oregon,Decaf,160,160,100,320,341,1,170,1,1091,171,47,1,99,0.290322581,0.087096774,341,440,341,,341,72
435,Coffee,1/1/2012 12:00:00 AM,Utah,West,Small Market,Decaf Espresso,Espresso,West,Utah,UT,Utah,Decaf,40,70,50,110,123,1,50,1,821,73,14,1,47,0.382113821,0.114634146,123,170,123,,123,26
206,Coffee,1/1/2012 12:00:00 AM,Washington,West,Small Market,Decaf Espresso,Espresso,West,Washi,WA,Washington,Decaf,60,80,60,140,150,1,69,1,965,81,21,1,39,0.26,0.078,150,189,150,,150,42
702,Tea,1/1/2012 12:00:00 AM,Nevada,West,Small Market,Chamomile,Herbal Tea,West,Nevad,NV,Nevada,Decaf,90,130,30,220,,,105,,725,145,95,1,16,0.064,0.0192,250,266,250,250,250,129
971,Tea,1/1/2012 12:00:00 AM,Oregon,West,Small Market,Chamomile,Herbal Tea,West,Orego,OR,Oregon,Decaf,30,40,40,70,,,36,,777,54,10,1,33,0.366666667,0.11,90,123,90,90,90,21
801,Tea,1/1/2012 12:00:00 AM,Utah,West,Small Market,Chamomile,Herbal Tea,West,Utah,UT,Utah,Decaf,30,50,30,80,,,38,,241,55,12,1,21,0.225806452,0.067741935,93,114,93,93,93,34
206,Tea,1/1/2012 12:00:00 AM,Washington,West,Small Market,Chamomile,Herbal Tea,West,Washi,WA,Washington,Decaf,100,170,120,270,,,124,,961,186,40,1,115,0.370967742,0.111290323,310,425,310,310,310,71
775,Tea,1/1/2012 12:00:00 AM,Nevada,West,Small Market,Lemon,Herbal Tea,West,Nevad,NV,Nevada,Decaf,120,180,120,300,,,144,,862,201,47,1,111,0.321739130,0.096521739,345,456,345,345,345,90
503,Tea,1/1/2012 12:00:00 AM,Oregon,West,Small Market,Lemon,Herbal Tea,West,Orego,OR,Oregon,Decaf,30,50,30,80,,,44,,623,56,14,1,29,0.29,0.087,100,129,100,100,100,27
435,Tea,1/1/2012 12:00:00 AM,Utah,West,Small Market,Lemon,Herbal Tea,West,Utah,UT,Utah,Decaf,40,60,30,100,,,48,,372,72,15,1,25,0.208333333,0.0625,120,145,120,120,120,47
360,Tea,1/1/2012 12:00:00 AM,Washington,West,Small Market,Lemon,Herbal Tea,West,Washi,WA,Washington,Decaf,20,50,50,70,,,34,,777,51,9,1,30,0.352941176,0.105882353,85,115,85,85,85,21
702,Tea,1/1/2012 12:00:00 AM,Nevada,West,Small Market,Mint,Herbal Tea,West,Nevad,NV,Nevada,Decaf,80,120,90,200,,,95,,608,139,30,1,86,0.367521368,0.110256410,234,320,234,234,234,53
435,Tea,1/1/2012 12:00:00 AM,Utah,West,Small Market,Mint,Herbal Tea,West,Utah,UT,Utah,Decaf,70,10,-30,80,,,88,,525,11,27,1,-40,-0.404040404,-0.121212121,99,59,99,99,99,51
319,Coffee,1/1/2012 12:00:00 AM,Iowa,Central,Small Market,Amaretto,Coffee,Central,Iowa,IA,Iowa,Regular,10,30,20,40,45,1,18,1,821,27,5,1,11,0.244444444,0.073333333,45,56,45,,45,16
